date,SVI,P_IMERG,EVI,SPI_1,SPI_3,SPI_6,SPI_9,SPI_12,SOI,AAO
Feb-23,-0.95,43.8648,0.1892,-0.8854,-0.0075,-0.8349,-0.8073,-1.3706,1.4,0.5536
Mar-23,-0.13,69.3036,0.1813,0.3521,-0.1531,-0.514,-0.4781,-0.8219,0.2,-0.2582
Apr-23,-0.52,13.734,0.1639,-0.7223,-0.7687,-0.4339,-0.6063,-0.7125,0.2,-0.9210
May-23,0.9,14.7312,0.1424,0.6912,-0.0151,-0.0584,-0.6681,-0.6418,-1,1.4520
Jun-23,-0.39,1.224,0.1208,-0.4005,-0.3624,-0.4035,-0.6713,-0.6399,0.3,-0.4380
Jul-23,-0.67,6.6216,0.1032,0.8592,0.5867,-0.6764,-0.3757,-0.5472,-0.3,-0.8180
Aug-23,-1.19,0,0.0961,0,-0.193,-0.1095,-0.1212,-0.6751,-0.8,-0.0380
Sep-23,-0.74,1.944,0.0938,-1.0153,-0.6368,-0.866,-0.5997,-0.7889,-1.3,-1.0500
Oct-23,-1.88,8.5932,0.0932,-1.7521,-2.2762,-1.3227,-1.3303,-0.9082,-0.5,0.5350
Nov-23,-0.82,38.394,0.111,-0.9096,-1.9277,-1.8997,-1.3476,-0.9827,-0.8,0.0970
Dec-23,-1.46,53.0658,0.1444,-0.5953,-1.5822,-1.9453,-1.8573,-1.4956,-0.2,1.5100
Jan-24,-0.95,64.4862,0.2,-0.3672,-1.3332,-2.0722,-1.8236,-1.984,0.5,0.9220
Feb-24,0.72,109.4112,0.1696,1.1923,0.3149,-0.9084,-0.9592,-0.8642,-1.4,1.0430
Mar-24,-1.47,25.6866,0.1924,-1.4269,-0.2062,-1.1193,-1.3289,-1.3921,0.4,-0.0580
Apr-24,-0.3,45.864,0.1725,1.0219,0.4725,-0.4225,-0.9801,-0.8534,-0.2,1.0050
May-24,-0.94,4.8918,0.1516,-0.5264,-0.7733,-0.251,-1.1176,-1.1416,0.5,-0.0730
Jun-24,-0.98,0.45,0.1122,-0.866,0.5497,-0.0066,-0.9134,-1.1017,0,0.2100
Jul-24,-0.94,1.86,0.1009,-0.2431,-0.906,0.2447,-0.6212,-1.1874,-0.7,-0.5969
Aug-24,-1.46,1.3764,0.0952,-0.1298,-0.9372,-0.9258,-0.3841,-1.1661,0.9,-2.1504
Sep-24,-1.38,1.584,0.0895,-1.1321,-1.1358,-0.0915,-0.3039,-1.0813,-0.1,0.0978
Oct-24,1.6,76.0182,0.1111,1.9883,1.3442,0.8817,0.8188,-0.0774,0.5,-0.5670
Nov-24,1.02,71.784,0.1763,0.6368,1.3229,1.1469,0.4423,0.4604,0.5,1.0195
Dec-24,-0.16,51.5592,0.1858,-0.6557,0.9871,0.7173,0.7967,0.4604,1.2,-0.8259
Jan-25,-0.15,75.5904,0.2086,0.0505,-0.0883,0.6296,0.452,0.6633,0.2,-0.0803
Feb-25,-0.28,65.7048,0.192,-0.0397,-0.6102,0.5104,0.3904,-0.0746,0.5,-0.2708
Mar-25,1.39,116.7336,0.204,1.539,0.9952,1.2862,1.1423,1.1825,1.7,0.7332
Apr-25,0.22,7.038,0.1792,-1.4529,0.6598,0.3772,0.8136,0.7079,0.5,1.1380
May-25,-0.37,4.9662,0.1349,-0.5014,0.8838,0.1201,0.8096,0.714,0.4,0.5086
Jun-25,-0.8,1.53,0.1147,-0.2467,-1.4365,0.419,0.8655,0.7037,0.3,0.2090
Jul-25,-0.13,13.299,0.098,1.7305,0.3919,0.7145,0.4148,0.859,0.6,0.7531
Aug-25,2.33,43.7658,0.0883,2.9467,2.9574,1.7999,0.9101,1.3743,0.4,0.3566
Sep-25,0.4,14.22,0.1034,0.5225,2.2102,0.8718,1.2388,1.4146,0,-0.7092
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
